Chaffee County,17809,38.738246,-106.316972
Cheyenne County,1836,38.835386,-102.604585
Clear Creek County,9088,39.689403,-105.670791
Conejos County,8256,37.213406,-106.176447
Costilla County,3524,37.277547,-105.42894
Crowley County,5823,38.321956,-103.787562
Custer County,4255,38.101994,-105.373515
Delta County,30952,38.861756,-107.864757
Denver County,600158,39.761849,-104.880625
Dolores County,2064,37.747602,-108.530383
Douglas County,285465,39.326435,-104.926199
Eagle County,52197,39.630638,-106.692944
Elbert County,23086,39.310817,-104.117928
El Paso County,622263,38.827383,-104.527472
Fremont County,46824,38.455658,-105.421438
Garfield County,56389,39.599352,-107.90978
Gilpin County,5441,39.861082,-105.528947
Grand County,14843,40.123289,-106.095876
Gunnison County,15324,38.669679,-107.078108
Hinsdale County,843,37.811625,-107.383405
Huerfano County,6711,37.687815,-104.959928
Jackson County,1394,40.663432,-106.329248
Jefferson County,534543,39.58646,-105.245601
Kiowa County,1398,38.388466,-102.75621
Kit Carson County,8270,39.30534,-102.603023
Lake County,7310,39.204316,-106.349696
La Plata County,51334,37.287367,-107.839718
Larimer County,299630,40.663091,-105.482131
Las Animas County,15507,37.318831,-104.04411
Lincoln County,5467,38.99374,-103.507555
Logan County,22709,40.728091,-103.090464
Mesa County,146723,39.019492,-108.461837
Mineral County,712,37.651478,-106.9323
Moffat County,13795,40.573984,-108.204521
Montezuma County,25535,37.338025,-108.595786
Montrose County,41276,38.413427,-108.263042
Morgan County,28159,40.262353,-103.807092
Otero County,18831,37.88417,-103.72126
Ouray County,4436,38.1506,-107.767133
Park County,16206,39.118914,-105.717648
Phillips County,4442,40.594712,-102.345105
Pitkin County,17148,39.217533,-106.915943
Prowers County,12551,37.958181,-102.392161
Pueblo County,159063,38.170658,-104.489892
Rio Blanco County,6666,39.972606,-108.200685
Rio Grande County,11982,37.485763,-106.453214
Routt County,23509,40.48316,-106.985288
Saguache County,6108,38.033952,-106.246675
San Juan County,699,37.781074,-107.670257
San Miguel County,7359,38.009374,-108.427326
Sedgwick County,2379,40.871568,-102.355358
Summit County,27994,39.621023,-106.137555
Teller County,23350,38.871994,-105.182552
Washington County,4814,39.965413,-103.209605
Weld County,252825,40.555794,-104.383649
Yuma County,10043,40.000631,-102.422649
Fairfield County,916829,41.228103,-73.366757
Hartford County,894014,41.806053,-72.732916
Litchfield County,189927,41.791897,-73.235428
Middlesex County,165676,41.434525,-72.524227
New Haven County,862477,41.349717,-72.900204
New London County,274055,41.47863,-72.103452
Tolland County,152691,41.858076,-72.340977
Windham County,118428,41.824999,-71.990702
Kent County,162310,39.097088,-75.502982
New Castle County,538479,39.575915,-75.644132
Sussex County,197145,38.677511,-75.335495
District of Columbia,601723,38.904149,-77.017094
Alachua County,247336,29.67574,-82.357221
Baker County,27115,30.324442,-82.302284
Bay County,168852,30.237563,-85.631348
Bradford County,28520,29.946934,-82.166796
Brevard County,543376,28.298275,-80.700384
Broward County,1748066,26.19352,-80.476658
Calhoun County,14625,30.388801,-85.197915
Charlotte County,159978,26.868826,-81.940858
Citrus County,141236,28.843628,-82.524796
Clay County,190865,29.987115,-81.858147
Collier County,321520,26.118713,-81.400884
Columbia County,67531,30.221305,-82.623127
DeSoto County,34862,27.190581,-81.806253
Dixie County,16422,29.580899,-83.195666
Duval County,864263,30.335245,-81.648113
Escambia County,297619,30.611664,-87.33904
Flagler County,95696,29.474894,-81.286362
Franklin County,11549,29.810176,-84.799173
Gadsden County,46389,30.579169,-84.612783
Gilchrist County,16939,29.723456,-82.795801
Glades County,12884,26.95481,-81.19082
Gulf County,15863,29.907257,-85.256537
Hamilton County,14799,30.491102,-82.951049
Hardee County,27731,27.492846,-81.82158
Hendry County,39140,26.53934,-81.151584
Hernando County,172778,28.567911,-82.464835
Highlands County,98786,27.342627,-81.340921
Hillsborough County,1229226,27.90659,-82.349568
Holmes County,19927,30.866222,-85.812959
Indian River County,138028,27.700638,-80.574803
Jackson County,49746,30.787812,-85.210374
Jefferson County,14761,30.424558,-83.890859
Lafayette County,8870,29.990066,-83.17851
Lake County,297052,28.764113,-81.712282
Lee County,618754,26.552134,-81.89225
Leon County,275487,30.45931,-84.2778
Levy County,40801,29.284409,-82.783482
Liberty County,8365,30.259849,-84.86858
Madison County,19224,30.447228,-83.470437
Manatee County,322833,27.481386,-82.365783
Marion County,331298,29.202805,-82.0431
Martin County,146318,27.079954,-80.398211
Miami-Dade County,2496435,25.610494,-80.499045
Monroe County,73090,25.601043,-81.206777
Nassau County,73314,30.605926,-81.764929
Okaloosa County,180822,30.665858,-86.594194
Okeechobee County,39996,27.385592,-80.887388
Orange County,1145956,28.514435,-81.323295
Osceola County,268685,28.059027,-81.139312
Palm Beach County,1320134,26.645763,-80.448673
Pasco County,464697,28.302024,-82.455707
Pinellas County,916542,27.903122,-82.739518
Polk County,602095,27.953115,-81.692783
Putnam County,74364,29.606006,-81.740894
St. Johns County,190039,29.890593,-81.383914
St. Lucie County,277789,27.380775,-80.443364
Santa Rosa County,151372,30.703633,-87.014255
Sarasota County,379448,27.184386,-82.365835
Seminole County,422718,28.690079,-81.13198
Sumter County,93420,28.714294,-82.074715
Suwannee County,41551,30.189244,-82.992754
Taylor County,22570,30.016943,-83.616417
Union County,15535,30.05428,-82.366918
Volusia County,494593,29.057617,-81.161813
